revision id, username, article size after edit (bytes),change in article size from edit (bytes), time of edit (seconds from first edit),time since last edit (seconds), URL to view diff, comments associated with edit,,,,,,,,,,,,,,,,,
288193864,72.81.191.28,47303,-5,217451074,5454,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288193864&oldid=288180099,/* Bundibugyo ebolavirus */,,,,,,,,,,,,,,,,,
288215661,Read-write-services,47108,-195,217462227,11153,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288215661&oldid=288193864,removed sensationalism and fixed-up,,,,,,,,,,,,,,,,,
288236224,ViperNerd,47084,-24,217474325,12098,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288236224&oldid=288215661,/* Bundibugyo ebolavirus */,,,,,,,,,,,,,,,,,
288280610,79.74.75.91,47174,90,217494908,20583,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288280610&oldid=288236224,/* Medical aspects */,,,,,,,,,,,,,,,,,
288289883,81.159.137.92,45846,-1328,217498125,3217,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288289883&oldid=288280610,/* Emergence */,,,,,,,,,,,,,,,,,
288290006,The Thing That Should Not Be,47174,1328,217498162,37,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288290006&oldid=288289883,Reverted edits by [[Special:Contributions/81.159.137.92|81.159.137.92]] to last revision by 79.74.75.91 ([[WP:HG|HG]]),,,,,,,,,,,,,,,,,
288360337,ViperNerd,47084,-90,217521027,22865,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288360337&oldid=288290006,/* Treatment */ rm Unsourced.,,,,,,,,,,,,,,,,,
288380542,173.87.177.96,0,-47084,217528370,7343,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288380542&oldid=288360337,[[WP:AES|←]]Blanked the page,,,,,,,,,,,,,,,,,
288380554,ClueBot,47084,47084,217528377,7,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288380554&oldid=288380542,Reverting possible vandalism by [[Special:Contributions/173.87.177.96|173.87.177.96]] to version by ViperNerd. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (693907) (Bot),,,,,,,,,,,,,,,,
288515575,216.125.91.130,47085,1,217591722,63345,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288515575&oldid=288380554,,,,,,,,,,,,,,,,,,
288515688,The Thing That Should Not Be,47084,-1,217591754,32,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288515688&oldid=288515575,Reverted edits by [[Special:Contributions/216.125.91.130|216.125.91.130]] to last revision by ClueBot ([[WP:HG|HG]]),,,,,,,,,,,,,,,,,
288546558,66.65.9.144,47106,22,217601598,9844,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288546558&oldid=288515688,/* Etymology */,,,,,,,,,,,,,,,,,
288546626,66.65.9.144,47083,-23,217601619,21,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=288546626&oldid=288546558,/* Etymology */,,,,,,,,,,,,,,,,,
289013338,98.240.104.160,46874,-209,217805946,204327,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=289013338&oldid=288546626,Ebola doesn't cause organ damage, or turn organs into mush,,,,,,,,,,,,,,,,
289013673,98.240.104.160,46475,-399,217806145,199,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=289013673&oldid=289013338,Ebola always causes the more serious symptoms unless treated. The deleted paragraph was redundant,,,,,,,,,,,,,,,,,
289162835,ChyranandChloe,45830,-645,217874758,68613,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=289162835&oldid=289013673,prose cleanup; encycolopedic tone,,,,,,,,,,,,,,,,,
289184786,ViperNerd,47084,1254,217883953,9195,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=289184786&oldid=289162835,,,,,,,,,,,,,,,,,,
289187603,Read-write-services,45830,-1254,217885346,1393,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=289187603&oldid=289184786,[[WP:UNDO|Undid]] revision 289184786 by [[Special:Contributions/ViperNerd|ViperNerd]] ([[User talk:ViperNerd|talk]])removed sensationalism,,,,,,,,,,,,,,,,,
289189282,ViperNerd,47084,1254,217886240,894,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=289189282&oldid=289187603,"[[WP:UNDO|Undid]] revision 289187603 by [[Special:Contributions/Read-write-services|Read-write-services]] ([[User talk:Read-write-services|talk]]) ""Sensationalism"" is subjective.",,,,,,,,,,,,,,,,,
289199382,ChyranandChloe,46439,-645,217891971,5731,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=289199382&oldid=289189282,disagree, removed under [[WP:V]] and [[WP:TONE]]; talk page for COI,,,,,,,,,,,,,,,,
289483968,205.202.214.198,46468,29,218015395,123424,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=289483968&oldid=289199382,/* Emergence */,,,,,,,,,,,,,,,,,
289565444,Read-write-services,46448,-20,218040906,25511,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=289565444&oldid=289483968,rejig,,,,,,,,,,,,,,,,,
290022426,24.98.197.246,46451,3,218229446,188540,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290022426&oldid=289565444,,,,,,,,,,,,,,,,,,
290028424,ChyranandChloe,46448,-3,218232262,2816,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290028424&oldid=290022426,[[WP:UNDO|Undid]] revision 290022426 by [[Special:Contributions/24.98.197.246|24.98.197.246]] ([[User talk:24.98.197.246|talk]]) deliberate factual errors,,,,,,,,,,,,,,,,,
290034048,ChyranandChloe,45718,-730,218235149,2887,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290034048&oldid=290028424,removing empty citation fields; code cleanup; added paragraph to classifications,,,,,,,,,,,,,,,,,
290036091,ChyranandChloe,44127,-1591,218236306,1157,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290036091&oldid=290034048,rm last sentence in Classifciations lead, WP:V; compactin Classifications, m some content to the History; deflist; see discussion,,,,,,,,,,,,,,,
290036850,ChyranandChloe,44110,-17,218236771,465,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290036850&oldid=290036091,cleanup,,,,,,,,,,,,,,,,,
290040411,ChyranandChloe,44105,-5,218238855,2084,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290040411&oldid=290036850,cleanup,,,,,,,,,,,,,,,,,
290195480,71.244.38.148,44083,-22,218302199,63344,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290195480&oldid=290040411,/* Prognosis */,,,,,,,,,,,,,,,,,
290195493,ClueBot,44105,22,218302206,7,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290195493&oldid=290195480,Reverting possible vandalism by [[Special:Contributions/71.244.38.148|71.244.38.148]] to version by ChyranandChloe. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (701412) (Bot),,,,,,,,,,,,,,,,
290201843,99.254.216.48,44119,14,218304524,2318,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290201843&oldid=290195493,/* Prognosis */,,,,,,,,,,,,,,,,,
290255678,ChyranandChloe,44117,-2,218328077,23553,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290255678&oldid=290201843,cleanup,,,,,,,,,,,,,,,,,
290322413,71.244.38.148,44107,-10,218357777,29700,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290322413&oldid=290255678,/* Recent cases */,,,,,,,,,,,,,,,,,
290322496,Tmwerty,44117,10,218357810,33,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290322496&oldid=290322413,Reverted 1 edit by [[Special:Contributions/71.244.38.148|71.244.38.148]] identified as [[WP:VAND|vandalism]] to last revision by [[User:ChyranandChloe|ChyranandChloe]]. ([[WP:TW|TW]]),,,,,,,,,,,,,,,,,
290398673,Axl,44116,-1,218386030,28220,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290398673&oldid=290322496,/* Classification */ spelling,,,,,,,,,,,,,,,,,
290398927,Axl,44101,-15,218386132,102,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290398927&oldid=290398673,Redundant text deleted,,,,,,,,,,,,,,,,,
290401039,Axl,44447,346,218386893,761,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290401039&oldid=290398927,/* Prevalence */ Reference,,,,,,,,,,,,,,,,,
290539877,71.244.38.148,43580,-867,218451808,64915,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290539877&oldid=290401039,/* References */,,,,,,,,,,,,,,,,,
290540042,Queen Rhana,44447,867,218451863,55,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290540042&oldid=290539877,[[WP:UNDO|Undid]] revision 290539877 by [[Special:Contributions/71.244.38.148|71.244.38.148]] ([[User talk:71.244.38.148|talk]]),,,,,,,,,,,,,,,,,
290629197,70.161.153.129,44468,21,218482047,30184,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290629197&oldid=290540042,/* Treatment */,,,,,,,,,,,,,,,,,
290630108,Locos epraix,44447,-21,218482438,391,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=290630108&oldid=290629197,Reverted edits by [[Special:Contributions/70.161.153.129|70.161.153.129]] to last revision by Queen Rhana ([[WP:HG|HG]]),,,,,,,,,,,,,,,,,
291236164,79.103.220.47,44451,4,218718936,236498,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=291236164&oldid=290630108,/* Natural reservoirs */,,,,,,,,,,,,,,,,,
291585545,ViperNerd,44484,33,218859342,140406,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=291585545&oldid=291236164,More specific.,,,,,,,,,,,,,,,,,
291587295,ViperNerd,44501,17,218860339,997,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=291587295&oldid=291585545,/* Classification */ Wikilinks added.,,,,,,,,,,,,,,,,,
291589266,ViperNerd,44513,12,218861413,1074,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=291589266&oldid=291587295,/* Diagnosis */,,,,,,,,,,,,,,,,,
291590683,ViperNerd,45131,618,218862203,790,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=291590683&oldid=291589266,/* Prognosis */,,,,,,,,,,,,,,,,,
291590704,ViperNerd,44328,-803,218862215,12,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=291590704&oldid=291590683,/* Diagnosis */ Material which was not relevant to this section," and was indeed repeated in ""Prognosis""", has been removed/merged to that section.,,,,,,,,,,,,,,,
291591050,ViperNerd,44343,15,218862393,178,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=291591050&oldid=291590704,/* Treatment */,,,,,,,,,,,,,,,,,
291591644,ViperNerd,44209,-134,218862720,327,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=291591644&oldid=291591050,/* Public attention */,,,,,,,,,,,,,,,,,
291766947,ChyranandChloe,44033,-176,218932988,70268,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=291766947&oldid=291591644,citation cleanup,,,,,,,,,,,,,,,,,
291767844,ChyranandChloe,43978,-55,218933533,545,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=291767844&oldid=291766947,cleanup,,,,,,,,,,,,,,,,,
291841842,Rich Farmbrough,43993,15,218971401,37868,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=291841842&oldid=291767844,"clean up- spelling ""et al."" and gen fixes",,,,,,,,,,,,,,,,,
291855379,ViperNerd,43971,-22,218976176,4775,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=291855379&oldid=291841842,/* Genome */ No source needed. This is a basic fact inherent to all (-)ssRNA viruses.,,,,,,,,,,,,,,,,,
292095532,69.234.223.59,44007,36,219073277,97101,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=292095532&oldid=291855379,,,,,,,,,,,,,,,,,,
292095571,ClueBot,43971,-36,219073290,13,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=292095571&oldid=292095532,Reverting possible vandalism by [[Special:Contributions/69.234.223.59|69.234.223.59]] to version by ViperNerd. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (710885) (Bot),,,,,,,,,,,,,,,,
292213680,81.93.24.245,44009,38,219126764,53474,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=292213680&oldid=292095571,,,,,,,,,,,,,,,,,,
292213738,Amplitude101,43971,-38,219126789,25,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=292213738&oldid=292213680,Reverted edits by [[Special:Contributions/81.93.24.245|81.93.24.245]] to last revision by ClueBot ([[WP:HG|HG]]),,,,,,,,,,,,,,,,,
292214133,81.93.24.245,43977,6,219126985,196,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=292214133&oldid=292213738,,,,,,,,,,,,,,,,,,
292214166,LeaveSleaves,43971,-6,219127002,17,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=292214166&oldid=292214133,Reverted edits by [[Special:Contributions/81.93.24.245|81.93.24.245]] to last revision by Amplitude101 ([[WP:HG|HG]]),,,,,,,,,,,,,,,,,
293408563,ChyranandChloe,40160,-3811,219597592,470590,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293408563&oldid=292214166,cleanup,,,,,,,,,,,,,,,,,
293409393,ChyranandChloe,40246,86,219597881,289,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293409393&oldid=293408563,"cleanup; merge the two ""Recent cases""",,,,,,,,,,,,,,,,,
293410443,ChyranandChloe,40245,-1,219598268,387,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293410443&oldid=293409393,/* Transmission */ rm ],,,,,,,,,,,,,,,,,
293450153,ViperNerd,40213,-32,219614998,16730,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293450153&oldid=293410443,rm Category. There is no proof that Ebola has ever been weaponized or used as a biological weapon.,,,,,,,,,,,,,,,,,
293451250,ViperNerd,44072,3859,219615556,558,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293451250&oldid=293450153,No edit comment given for removal of these links, many of which add relevant material not contained within the main article. Links also appear to meet [[WP:EL]] criteria.,,,,,,,,,,,,,,,,
293454427,ChyranandChloe,40213,-3859,219617101,1545,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293454427&oldid=293451250,Sorry; rm EL; rationale is in the discussion," thread ""Removing the External links""; applicable under [[WP:MEDMOS]]", EL is discouraged, these links should be reintergrated as references,,,,,,,,,,,,,,
293455297,Georgewilliamherbert,44072,3859,219617499,398,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293455297&oldid=293454427,[[WP:UNDO|Undid]] revision 293454427 by [[Special:Contributions/ChyranandChloe|ChyranandChloe]] ([[User talk:ChyranandChloe|talk]]) Restore links - moving them to references fine, mass deletion not.,,,,,,,,,,,,,,,,
293460419,71.207.1.219,44069,-3,219620073,2574,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293460419&oldid=293455297,/* Classification */,,,,,,,,,,,,,,,,,
293465134,ChyranandChloe,43347,-722,219622872,2799,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293465134&oldid=293460419,USAMRIID and ICTV already in article; Brett Russell, PMID 8551825, PMID 8712894, PMID 15588056, and PMID 7547435 used in Transmission; PMID 15207310 used in Recent cases;,,,,,,,,,,,,,
293469511,ChyranandChloe,43659,312,219625564,2692,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293469511&oldid=293465134,BiomarkerDatabase was already a reference within the article: used in Life cycle and Strcuture; possible CopyVio in Life cycle;,,,,,,,,,,,,,,,,,
293575404,ChyranandChloe,44141,482,219673022,47458,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293575404&oldid=293469511,News sources used in Recent cases; History of Ebola Outbreaks from CDC already used in Classifications; Infection Control... from CDC and WHO sent to Bibliography for expansion, used in Prevention,,,,,,,,,,,,,,,,
293588145,ChyranandChloe,45508,1367,219677270,4248,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293588145&oldid=293575404,MIGRATION COMPLETE; Filomeeting to History; ViralZone to Life Cycle; CDCQ&A to Prevalence; VRC to Prevention; ECDC to Diagnosis; International Colloquium to Bibliography for expansion, used in History,,,,,,,,,,,,,,,,
293972417,ChyranandChloe,45201,-307,219832072,154802,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293972417&oldid=293588145,clean up citations,,,,,,,,,,,,,,,,,
293978167,ChyranandChloe,42235,-2966,219833972,1900,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293978167&oldid=293972417,Citations cleanup,,,,,,,,,,,,,,,,,
293979866,ChyranandChloe,42280,45,219834528,556,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293979866&oldid=293978167,/* Prevention */ cleanup,,,,,,,,,,,,,,,,,
293983148,ChyranandChloe,42149,-131,219835688,1160,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=293983148&oldid=293979866,Prevention accuracy; CDC & WHO cite fix;,,,,,,,,,,,,,,,,,
294033457,76.224.65.184,42155,6,219851196,15508,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=294033457&oldid=293983148,/* Etymology */,,,,,,,,,,,,,,,,,
294033569,76.224.65.184,42149,-6,219851234,38,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=294033569&oldid=294033457,/* Etymology */,,,,,,,,,,,,,,,,,
294038579,ViperNerd,42159,10,219852824,1590,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=294038579&oldid=294033569,/* Prevention */ rv To understandable text.,,,,,,,,,,,,,,,,,
294051708,Lolaxoxo,42159,0,219857227,4403,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=294051708&oldid=294038579,/* Etymology */,,,,,,,,,,,,,,,,,
294061107,ViperNerd,42159,0,219860475,3248,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=294061107&oldid=294051708,[[WP:UNDO|Undid]] revision 294051708 by [[Special:Contributions/Lolaxoxo|Lolaxoxo]] ([[User talk:Lolaxoxo|talk]]),,,,,,,,,,,,,,,,,
294104041,ChyranandChloe,42139,-20,219877061,16586,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=294104041&oldid=294061107,fixed ciation to Ebola rather than Marburg; added ICTV abbr.; Reston ebolavirus is confirmed to be a species, it's not suspected to be an Asian filo anymore,,,,,,,,,,,,,,,,
294400323,122.169.64.90,42170,31,220004779,127718,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=294400323&oldid=294104041,/* History */,,,,,,,,,,,,,,,,,
294403147,Dhomya,42139,-31,220005805,1026,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=294403147&oldid=294400323,/* Public attention */,,,,,,,,,,,,,,,,,
294634292,Lavateraguy,42135,-4,220102831,97026,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=294634292&oldid=294403147,intended word unknown - remove,,,,,,,,,,,,,,,,,
294917687,24.4.38.149,42132,-3,220222789,119958,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=294917687&oldid=294634292,/* Classification */,,,,,,,,,,,,,,,,,
294918043,24.4.38.149,42132,0,220222977,188,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=294918043&oldid=294917687,/* Classification */,,,,,,,,,,,,,,,,,
294928358,WDM27,42132,0,220228817,5840,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=294928358&oldid=294918043,/* Recent cases */,,,,,,,,,,,,,,,,,
295081193,Telekineticturtle,42117,-15,220294399,65582,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=295081193&oldid=294928358,/* Transmission */ grammar,,,,,,,,,,,,,,,,,
295508798,128.193.146.253,42157,40,220476107,181708,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=295508798&oldid=295081193,,,,,,,,,,,,,,,,,,
295683249,71.90.30.146,42160,3,220550641,74534,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=295683249&oldid=295508798,/* Classification */,,,,,,,,,,,,,,,,,
295688259,AliasMe,42128,-32,220552687,2046,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=295688259&oldid=295683249,/* Prevention */  Rewording to clarify sentence/correct grammar.,,,,,,,,,,,,,,,,,
295816013,88.134.116.205,42129,1,220613149,60462,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=295816013&oldid=295688259,/* Prevalence */,,,,,,,,,,,,,,,,,
296102860,69.76.49.16,42129,0,220735863,122714,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=296102860&oldid=295816013,"/* Prevention */  Trials was spelt as ""Trails""",,,,,,,,,,,,,,,,,
296404401,ViperNerd,42123,-6,220880278,144415,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=296404401&oldid=296102860,/* Classification */,,,,,,,,,,,,,,,,,
296986916,Ericbourland,42124,1,221130454,250176,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=296986916&oldid=296404401,/* Medical aspects */,,,,,,,,,,,,,,,,,
297293921,125.238.112.180,42126,2,221254603,124149,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=297293921&oldid=296986916,,,,,,,,,,,,,,,,,,
297298399,ChyranandChloe,42122,-4,221257053,2450,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=297298399&oldid=297293921,corrected lists WP:LIST;,,,,,,,,,,,,,,,,,
297307436,ChyranandChloe,42730,608,221262148,5095,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=297307436&oldid=297298399,rewrote Pathogenesis consistent with source provided;,,,,,,,,,,,,,,,,,
297561249,Graham Beards,42920,190,221384762,122614,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=297561249&oldid=297307436,/* Virology */ added reference,,,,,,,,,,,,,,,,,
297562440,Graham Beards,42914,-6,221385260,498,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=297562440&oldid=297561249,/* Genome */ why minor?,,,,,,,,,,,,,,,,,
297685335,216.121.161.59,42874,-40,221439084,53824,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=297685335&oldid=297562440,,,,,,,,,,,,,,,,,,
297800283,Vedran12,42893,19,221493577,54493,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=297800283&oldid=297685335,iw hr,,,,,,,,,,,,,,,,,
298167132,78.99.3.205,42885,-8,221651821,158244,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=298167132&oldid=297800283,more specific link,,,,,,,,,,,,,,,,,
298370924,152.42.174.105,42848,-37,221729735,77914,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=298370924&oldid=298167132,/* Symptoms */,,,,,,,,,,,,,,,,,
298371162,152.42.174.105,42849,1,221729813,78,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=298371162&oldid=298370924,/* Etymology */,,,,,,,,,,,,,,,,,
298371505,SchnitzelMannGreek,42885,36,221729914,101,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=298371505&oldid=298371162,Reverted edits by [[Special:Contributions/152.42.174.105|152.42.174.105]] to last version by 78.99.3.205,,,,,,,,,,,,,,,,,
298764747,86.47.47.155,42920,35,221901392,171478,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=298764747&oldid=298371505,,,,,,,,,,,,,,,,,,
298765359,86.47.47.155,42961,41,221901610,218,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=298765359&oldid=298764747,,,,,,,,,,,,,,,,,,
298765385,ClueBot,42885,-76,221901620,10,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=298765385&oldid=298765359,Reverting possible vandalism by [[Special:Contributions/86.47.47.155|86.47.47.155]] to version by SchnitzelMannGreek. False positive? [[User:ClueBot/FalsePositives|Report it]]. Thanks, [[User:ClueBot|ClueBot]]. (729093) (Bot),,,,,,,,,,,,,,,,
298765517,86.47.47.155,42930,45,221901671,51,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=298765517&oldid=298765385,,,,,,,,,,,,,,,,,,
298765587,Uncle Dick,42885,-45,221901695,24,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=298765587&oldid=298765517,Reverted edits by [[Special:Contributions/86.47.47.155|86.47.47.155]] to last revision by ClueBot ([[WP:HG|HG]]),,,,,,,,,,,,,,,,,
299060062,FrenchIsAwesome,42886,1,222035138,133443,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=299060062&oldid=298765587,/* Emergence */,,,,,,,,,,,,,,,,,
299445615,68.103.254.47,42886,0,222207152,172014,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=299445615&oldid=299060062,"/* Prevalence */ Moved sentence ""Pig Ebola May Lead Scientists to ‘Elusive Reservoir"" to previous paragraph to clarify that is related to only to Reston ebolavirus",,,,,,,,,,,,,,,,,
299507715,72.150.187.212,42814,-72,222242478,35326,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=299507715&oldid=299445615,Ebola doesn't cause the organs to turn to a mush. A book by an epidemiologist who worked with Ebola (Level 4: Virus Hunters of the CDC) denies this,,,,,,,,,,,,,,,,,
299844769,173.21.36.144,42722,-92,222391296,148818,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=299844769&oldid=299507715,/* Natural reservoirs */,,,,,,,,,,,,,,,,,
299844990,173.21.36.144,42722,0,222391452,156,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=299844990&oldid=299844769,/* Natural reservoirs */,,,,,,,,,,,,,,,,,
299845116,173.21.36.144,42719,-3,222391537,85,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=299845116&oldid=299844990,/* Natural reservoirs */,,,,,,,,,,,,,,,,,
299845238,173.21.36.144,42716,-3,222391630,93,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=299845238&oldid=299845116,/* Natural reservoirs */,,,,,,,,,,,,,,,,,
300101268,78.149.124.78,42722,6,222521741,130111,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=300101268&oldid=299845238,/* Etymology */,,,,,,,,,,,,,,,,,
300101415,78.149.124.78,42729,7,222521798,57,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=300101415&oldid=300101268,/* Etymology */,,,,,,,,,,,,,,,,,
300108215,Lavateraguy,42716,-13,222524256,2458,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=300108215&oldid=300101415,rv 2 edits,,,,,,,,,,,,,,,,,
300269811,98.240.104.160,42579,-137,222603872,79616,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=300269811&oldid=300108215,Ebola doesn't cause organ damage, the book I mentioned earlier notes this,,,,,,,,,,,,,,,,
300550150,76.230.44.229,42620,41,222735668,131796,https://en.wikipedia.org/w/index.php?title=Ebola_virus_disease&diff=300550150&oldid=300269811,/* Recent cases */,,,,,,,,,,,,,,,,,
